,train_loss,val_loss
0,[20545.236328125],[5780.0327]
1,[15988.4775390625],[4072.2598]
2,[12499.306640625],[2959.3682]
3,[9827.6015625],[2277.6497]
4,[7781.84130859375],[1904.7896]
5,[6215.37939453125],[1749.7909]
6,[5015.91650390625],[1745.3053]
7,[4097.47314453125],[1841.8004]
8,[3394.208251953125],[2003.1315]
9,[2855.709228515625],[2203.182]
10,[2443.374267578125],[2423.3198]
11,[2127.64453125],[2650.4724]
12,[1885.885986328125],[2875.6765]
13,[1700.767578125],[3092.981]
14,[1559.0203857421875],[3298.6323]
15,[1450.482421875],[3490.4534]
16,[1367.3743896484375],[3667.394]
17,[1303.73681640625],[3829.186]
18,[1255.00830078125],[3976.0876]
19,[1217.6966552734375],[4108.7134]
20,[1189.126953125],[4227.8916]
21,[1167.2506103515625],[4334.5713]
22,[1150.499267578125],[4429.7524]
23,[1137.6729736328125],[4514.442]
24,[1127.8514404296875],[4589.626]
25,[1120.3309326171875],[4656.2363]
26,[1114.572509765625],[4715.155]
27,[1110.1630859375],[4767.192]
28,[1106.786865234375],[4813.096]
29,[1104.20166015625],[4853.5483]
30,[1102.22216796875],[4889.1606]
31,[1100.70654296875],[4920.49]
32,[1099.5457763671875],[4948.033]
33,[1098.656982421875],[4972.23]
34,[1097.9764404296875],[4993.48]
35,[1097.4554443359375],[5012.1294]
36,[1097.056396484375],[5028.4937]
37,[1096.7509765625],[5042.8433]
38,[1096.5169677734375],[5055.4287]
39,[1096.337890625],[5066.462]
40,[1096.2008056640625],[5076.129]
41,[1096.095703125],[5084.6006]
42,[1096.0152587890625],[5092.0234]
43,[1095.95361328125],[5098.5254]
44,[1095.906494140625],[5104.218]
45,[1095.870361328125],[5109.2046]
46,[1095.8427734375],[5113.5703]
47,[1095.8216552734375],[5117.3945]
48,[1095.805419921875],[5120.742]
49,[1095.79296875],[5123.6733]
